
{'rocket_mass': 16.39843682315349, 'rocket_inertia_11': 0.8161176254237904, 'rocket_inertia_33': 0.01641094152887374, 'motor_dry_mass': 4.335310693228597, 'motor_inertia_11': -0.029475130917907544, 'motor_inertia_33': 0.21165207767992908, 'motor_dry_mass_position': 0.5307744740376064, 'impulse': 9241.739398114803, 'burn_time': 2.3385791840883297, 'nozzle_radius': 0.040292649985902144, 'throat_radius': 0.014621348304600785, 'grain_separation': -0.0015218437815489514, 'grain_density': 1539.004711703566, 'grain_outer_radius': 0.04080528476169689, 'grain_initial_inner_radius': 0.022096744717655, 'grain_initial_height': 0.1535517601447344, 'radius': 0.07742656337016018, 'nozzle_position': -1.109521783418747, 'grains_center_of_mass_position': -3.070274701884186, 'power_off_drag': 1.0003610328127794, 'power_on_drag': 1.0680997768153744, 'nose_distance_to_CM': 1.1966187065752487, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.99786610116377, 'heading': 90.21999559172032, 'cd_s_drogue': 0.3177309374409391, 'cd_s_light': 16.051788984030654, 'lag_rec': 0.1985864983689593, 'lag_se': 0.10505732075241213, 'temperature': 301.99333002589105, 'atmosphere_pressure': 85866.48899367564, 'wind_u_speed': 0.4561661491946531, 'wind_v_speed': -4.040181162660047}

{'rocket_mass': 16.400008263849568, 'rocket_inertia_11': 0.8451988567943624, 'rocket_inertia_33': 0.016414961190114104, 'motor_dry_mass': 4.338143424913777, 'motor_inertia_11': 0.0030694127295466628, 'motor_inertia_33': 0.2116472193185007, 'motor_dry_mass_position': 0.5313760875010856, 'impulse': 9209.074705642497, 'burn_time': 2.8756759764048625, 'nozzle_radius': 0.04003150048133765, 'throat_radius': 0.014912570632748536, 'grain_separation': 0.00028594602642682175, 'grain_density': 1510.6611664376896, 'grain_outer_radius': 0.04133179046251011, 'grain_initial_inner_radius': 0.022074720366093314, 'grain_initial_height': 0.15361887053681023, 'radius': 0.07934493299480544, 'nozzle_position': -1.1090092304929957, 'grains_center_of_mass_position': -3.070256160433701, 'power_off_drag': 1.0006395122990415, 'power_on_drag': 0.91671922479634, 'nose_distance_to_CM': 1.1969294368320655, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 89.04270447649154, 'heading': 88.07342742054179, 'cd_s_drogue': 0.2816203886060471, 'cd_s_light': 16.09052668111724, 'lag_rec': 0.06509538171103356, 'lag_se': 0.04205643635411363, 'temperature': 298.23240766925505, 'atmosphere_pressure': 85743.05477823368, 'wind_u_speed': 0.4311375030191923, 'wind_v_speed': -4.635048367821236}

{'rocket_mass': 16.400383884359595, 'rocket_inertia_11': 0.7712667168413526, 'rocket_inertia_33': 0.016392987751135873, 'motor_dry_mass': 4.336958256278379, 'motor_inertia_11': 0.001150984799389597, 'motor_inertia_33': 0.21169346156692265, 'motor_dry_mass_position': 0.5296264932564944, 'impulse': 9214.692235010121, 'burn_time': 2.5798335721025816, 'nozzle_radius': 0.03889713685276614, 'throat_radius': 0.014310851729248241, 'grain_separation': 3.9574466907745645e-05, 'grain_density': 1493.5410858704493, 'grain_outer_radius': 0.0410537117123846, 'grain_initial_inner_radius': 0.02208441549829745, 'grain_initial_height': 0.15409859346069849, 'radius': 0.07611533719127095, 'nozzle_position': -1.1080681472160732, 'grains_center_of_mass_position': -3.070220677981914, 'power_off_drag': 0.962170475334767, 'power_on_drag': 1.0245440375473696, 'nose_distance_to_CM': 1.197528645876618, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.07236690326879, 'heading': 91.94909108196366, 'cd_s_drogue': 0.29980337358261944, 'cd_s_light': 16.0744797643706, 'lag_rec': 0.08698238502266133, 'lag_se': 0.05968855209056251, 'temperature': 302.3294286378476, 'atmosphere_pressure': 85953.21169546677, 'wind_u_speed': 0.42706976958871384, 'wind_v_speed': -4.091519544483876}

{'rocket_mass': 16.399153242585125, 'rocket_inertia_11': 0.7787385353376407, 'rocket_inertia_33': 0.01642141728710606, 'motor_dry_mass': 4.3356960473738155, 'motor_inertia_11': 0.0031443714406478845, 'motor_inertia_33': 0.21166233579378488, 'motor_dry_mass_position': 0.5306461957879917, 'impulse': 9203.297084155496, 'burn_time': 2.424505248157458, 'nozzle_radius': 0.04002599091554031, 'throat_radius': 0.014238552918292811, 'grain_separation': 0.0024224000505774254, 'grain_density': 1549.0286401006078, 'grain_outer_radius': 0.04151612345812062, 'grain_initial_inner_radius': 0.02195336771452765, 'grain_initial_height': 0.15133478388043312, 'radius': 0.07613375691723308, 'nozzle_position': -1.1077470188470049, 'grains_center_of_mass_position': -3.0704014351225886, 'power_off_drag': 1.0207950734314741, 'power_on_drag': 0.9405774278465511, 'nose_distance_to_CM': 1.197205261270354, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.00709138027825, 'heading': 89.92707335658783, 'cd_s_drogue': 0.30445375456472384, 'cd_s_light': 16.091621935133663, 'lag_rec': 0.15164667580037028, 'lag_se': 0.019380586084646927, 'temperature': 301.3314722086603, 'atmosphere_pressure': 85699.83811648293, 'wind_u_speed': 0.45466647659854026, 'wind_v_speed': -4.3578936140156594}

{'rocket_mass': 16.39952767161902, 'rocket_inertia_11': 0.8851731664434966, 'rocket_inertia_33': 0.016421089661161497, 'motor_dry_mass': 4.335684954095159, 'motor_inertia_11': -0.02556437443553438, 'motor_inertia_33': 0.21166938659044263, 'motor_dry_mass_position': 0.5285042087860692, 'impulse': 9219.219387827652, 'burn_time': 2.7234501697707065, 'nozzle_radius': 0.03961544745469593, 'throat_radius': 0.014438237342928463, 'grain_separation': -0.0011831789258341466, 'grain_density': 1515.8274842796204, 'grain_outer_radius': 0.04136519085186292, 'grain_initial_inner_radius': 0.022087541659244238, 'grain_initial_height': 0.15031904829417775, 'radius': 0.07729731929759315, 'nozzle_position': -1.1091964454852457, 'grains_center_of_mass_position': -3.070110560949886, 'power_off_drag': 0.9677088021199239, 'power_on_drag': 0.9583565457780331, 'nose_distance_to_CM': 1.1974353644243925, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.4324740830253, 'heading': 88.8467966153363, 'cd_s_drogue': 0.28265714051854746, 'cd_s_light': 16.060614467996654, 'lag_rec': 0.13020426346897618, 'lag_se': 0.053454657698390945, 'temperature': 301.81521859155055, 'atmosphere_pressure': 85588.45871031786, 'wind_u_speed': 0.4762321922344942, 'wind_v_speed': -4.426378127972872}

{'rocket_mass': 16.398845797999464, 'rocket_inertia_11': 0.763794508181494, 'rocket_inertia_33': 0.016408752688301675, 'motor_dry_mass': 4.33663277879873, 'motor_inertia_11': 0.008110742129812634, 'motor_inertia_33': 0.21165884207962882, 'motor_dry_mass_position': 0.5308890791567283, 'impulse': 9193.068717501465, 'burn_time': 2.4916551537881926, 'nozzle_radius': 0.040157215430990434, 'throat_radius': 0.014143940992505495, 'grain_separation': -0.0008305667275596962, 'grain_density': 1488.7557085910544, 'grain_outer_radius': 0.041124550778166444, 'grain_initial_inner_radius': 0.022065131129638368, 'grain_initial_height': 0.1514150941473063, 'radius': 0.07783910023190022, 'nozzle_position': -1.109673490545885, 'grains_center_of_mass_position': -3.070235741747537, 'power_off_drag': 1.0030645483566416, 'power_on_drag': 0.9452176404947887, 'nose_distance_to_CM': 1.1952747649056281, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 86.24120826935528, 'heading': 90.4709148368502, 'cd_s_drogue': 0.2859250037106904, 'cd_s_light': 16.063351187291463, 'lag_rec': 0.1395898585969938, 'lag_se': 0.06655920736456432, 'temperature': 299.9957951079924, 'atmosphere_pressure': 85656.66665252393, 'wind_u_speed': 0.37438655053862135, 'wind_v_speed': -3.977744887595437}

{'rocket_mass': 16.400080989548666, 'rocket_inertia_11': 0.8391638128760742, 'rocket_inertia_33': 0.016406950932250086, 'motor_dry_mass': 4.337403832695989, 'motor_inertia_11': 0.00615472150367542, 'motor_inertia_33': 0.21166615684678872, 'motor_dry_mass_position': 0.5300520842179335, 'impulse': 9207.975488483755, 'burn_time': 2.8808296286274384, 'nozzle_radius': 0.03975614811211385, 'throat_radius': 0.014623417121769995, 'grain_separation': -0.001988462157840435, 'grain_density': 1523.9598690468526, 'grain_outer_radius': 0.04085985018190728, 'grain_initial_inner_radius': 0.021878925081952102, 'grain_initial_height': 0.15196829531194708, 'radius': 0.07638772785428666, 'nozzle_position': -1.1094200297487913, 'grains_center_of_mass_position': -3.070237682255999, 'power_off_drag': 1.0328645710612363, 'power_on_drag': 0.9481591573782503, 'nose_distance_to_CM': 1.1985220244399342, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.34206714807199, 'heading': 92.79440626459869, 'cd_s_drogue': 0.28876519052259114, 'cd_s_light': 16.038493588635006, 'lag_rec': 0.31157271214507376, 'lag_se': 0.029400706732915446, 'temperature': 297.7460884416217, 'atmosphere_pressure': 85515.56412133483, 'wind_u_speed': 0.38082657693837685, 'wind_v_speed': -4.053534555496285}

{'rocket_mass': 16.39938777031094, 'rocket_inertia_11': 0.8489589368598991, 'rocket_inertia_33': 0.016405880400260996, 'motor_dry_mass': 4.3380299562106766, 'motor_inertia_11': -0.013971218860616289, 'motor_inertia_33': 0.21166380446863742, 'motor_dry_mass_position': 0.5305052482340077, 'impulse': 9210.08058486083, 'burn_time': 2.797704109373121, 'nozzle_radius': 0.04013534887698176, 'throat_radius': 0.014325559162987814, 'grain_separation': 2.303708563860559e-05, 'grain_density': 1483.0326291069975, 'grain_outer_radius': 0.04037534782414928, 'grain_initial_inner_radius': 0.022169333064155586, 'grain_initial_height': 0.1525842418577945, 'radius': 0.07743246857251779, 'nozzle_position': -1.109452043204033, 'grains_center_of_mass_position': -3.070197676887736, 'power_off_drag': 0.9697407738857066, 'power_on_drag': 0.9940711560827408, 'nose_distance_to_CM': 1.1965110685318547, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.38650410135556, 'heading': 88.71281445655885, 'cd_s_drogue': 0.31595969123257966, 'cd_s_light': 16.035048019452528, 'lag_rec': 0.08866993743155273, 'lag_se': 0.008248432522159208, 'temperature': 290.1557560439456, 'atmosphere_pressure': 85700.41785276294, 'wind_u_speed': 0.42303865467977914, 'wind_v_speed': -4.182955522318546}

{'rocket_mass': 16.400257090100528, 'rocket_inertia_11': 0.8212451131131818, 'rocket_inertia_33': 0.01643026316323988, 'motor_dry_mass': 4.336744237355936, 'motor_inertia_11': 0.006882792604871715, 'motor_inertia_33': 0.21168080930947755, 'motor_dry_mass_position': 0.5287497012631941, 'impulse': 9152.344323646235, 'burn_time': 2.596393260257307, 'nozzle_radius': 0.039401954456771235, 'throat_radius': 0.013896619081016482, 'grain_separation': -0.000273155224751614, 'grain_density': 1501.2685172667107, 'grain_outer_radius': 0.040798976617085585, 'grain_initial_inner_radius': 0.021480398060747655, 'grain_initial_height': 0.1511256566667064, 'radius': 0.07768951344234476, 'nozzle_position': -1.1093492545094645, 'grains_center_of_mass_position': -3.0702554480737754, 'power_off_drag': 1.0119807357075827, 'power_on_drag': 0.9651651398714921, 'nose_distance_to_CM': 1.1957444938456983, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 90.24398953493727, 'heading': 90.53894611780434, 'cd_s_drogue': 0.29379537612783757, 'cd_s_light': 16.070816476089405, 'lag_rec': 0.1870427927119526, 'lag_se': 0.07207972906287852, 'temperature': 299.18689692099196, 'atmosphere_pressure': 85353.50277810465, 'wind_u_speed': 0.37189768017124325, 'wind_v_speed': -3.5819379604721986}

{'rocket_mass': 16.4003253002762, 'rocket_inertia_11': 0.7899970357781712, 'rocket_inertia_33': 0.01642757010277827, 'motor_dry_mass': 4.337326248655949, 'motor_inertia_11': -0.0233045808487227, 'motor_inertia_33': 0.21168043782892113, 'motor_dry_mass_position': 0.5294897124019108, 'impulse': 9198.233831303613, 'burn_time': 2.692078508603176, 'nozzle_radius': 0.03983421062367392, 'throat_radius': 0.014306275991369466, 'grain_separation': 0.0005419604559381661, 'grain_density': 1520.557255052919, 'grain_outer_radius': 0.04108399855914661, 'grain_initial_inner_radius': 0.022124356357663206, 'grain_initial_height': 0.15345184793645428, 'radius': 0.07779005967486001, 'nozzle_position': -1.1090450245256502, 'grains_center_of_mass_position': -3.070055427528359, 'power_off_drag': 1.0022368962560584, 'power_on_drag': 1.0481833707497157, 'nose_distance_to_CM': 1.1965319588665633, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.25040464369287, 'heading': 92.61530868123108, 'cd_s_drogue': 0.28846003995898933, 'cd_s_light': 16.063945414368632, 'lag_rec': 0.016202993841372186, 'lag_se': 0.09340828598695948, 'temperature': 295.9525383856739, 'atmosphere_pressure': 85790.56817657268, 'wind_u_speed': 0.3900295073857988, 'wind_v_speed': -4.35957224725433}

{'rocket_mass': 16.400365714262115, 'rocket_inertia_11': 0.8556115177661813, 'rocket_inertia_33': 0.01639842175599644, 'motor_dry_mass': 4.337329569329315, 'motor_inertia_11': 0.015319035922931571, 'motor_inertia_33': 0.21168001963201855, 'motor_dry_mass_position': 0.5309849326271356, 'impulse': 9174.036748619576, 'burn_time': 3.099356753220871, 'nozzle_radius': 0.03952280325613535, 'throat_radius': 0.014581713746205439, 'grain_separation': -0.001585262939087769, 'grain_density': 1485.4077907394328, 'grain_outer_radius': 0.04101855785763056, 'grain_initial_inner_radius': 0.021975081260837876, 'grain_initial_height': 0.15160459437775253, 'radius': 0.07585689035372731, 'nozzle_position': -1.1085705751723467, 'grains_center_of_mass_position': -3.0703560710595967, 'power_off_drag': 0.9926038361977051, 'power_on_drag': 1.1187504190015027, 'nose_distance_to_CM': 1.1965194208094927, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.03307774937115, 'heading': 89.67324438798508, 'cd_s_drogue': 0.2593643348285438, 'cd_s_light': 16.07404887170182, 'lag_rec': 0.12000180624442983, 'lag_se': 0.12156239028935667, 'temperature': 300.38902942627783, 'atmosphere_pressure': 84985.71144243535, 'wind_u_speed': 0.5318885686416619, 'wind_v_speed': -4.781552642220288}

{'rocket_mass': 16.40027267301659, 'rocket_inertia_11': 0.872721173185149, 'rocket_inertia_33': 0.016414253066559147, 'motor_dry_mass': 4.334853211573965, 'motor_inertia_11': 0.01430639232580086, 'motor_inertia_33': 0.21167998171393837, 'motor_dry_mass_position': 0.5303442601698906, 'impulse': 9168.818336952976, 'burn_time': 2.266666779538131, 'nozzle_radius': 0.04070725777990486, 'throat_radius': 0.014223167992684851, 'grain_separation': 0.0017788724058165346, 'grain_density': 1461.9986831358121, 'grain_outer_radius': 0.04111117017762702, 'grain_initial_inner_radius': 0.022145507234784628, 'grain_initial_height': 0.1526283123551132, 'radius': 0.07799445736313555, 'nozzle_position': -1.108301874460598, 'grains_center_of_mass_position': -3.070303878008517, 'power_off_drag': 0.9602589565006179, 'power_on_drag': 1.0296091486916394, 'nose_distance_to_CM': 1.198481081037436, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.2505541902267, 'heading': 89.94336076706252, 'cd_s_drogue': 0.2655581828313534, 'cd_s_light': 16.075605517769127, 'lag_rec': 0.1327433336113082, 'lag_se': 0.033277144044086555, 'temperature': 296.88701752578766, 'atmosphere_pressure': 85820.44956482742, 'wind_u_speed': 0.5161837481847287, 'wind_v_speed': -4.088842291816694}

{'rocket_mass': 16.40063800651533, 'rocket_inertia_11': 0.885553430988183, 'rocket_inertia_33': 0.0164199333024007, 'motor_dry_mass': 4.336629251475929, 'motor_inertia_11': -0.03267582479202815, 'motor_inertia_33': 0.21168769385711597, 'motor_dry_mass_position': 0.5288445255694304, 'impulse': 9171.056688324541, 'burn_time': 2.263443581880643, 'nozzle_radius': 0.04048950281950295, 'throat_radius': 0.01390927188573018, 'grain_separation': 0.0001362380415747238, 'grain_density': 1508.3804747657762, 'grain_outer_radius': 0.04148612313297951, 'grain_initial_inner_radius': 0.021959725588248546, 'grain_initial_height': 0.15281167187121447, 'radius': 0.07946283004904259, 'nozzle_position': -1.1092112218590267, 'grains_center_of_mass_position': -3.0703770621060578, 'power_off_drag': 1.0515743908896786, 'power_on_drag': 1.0185103541891878, 'nose_distance_to_CM': 1.1975334015940282, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 87.17366947282677, 'heading': 93.72617136025, 'cd_s_drogue': 0.2939529368363521, 'cd_s_light': 16.07109888614629, 'lag_rec': 0.22948865139978217, 'lag_se': 0.011538861585083238, 'temperature': 303.39594093279317, 'atmosphere_pressure': 85481.47638549069, 'wind_u_speed': 0.4726234706579315, 'wind_v_speed': -4.966248785561579}

{'rocket_mass': 16.40188323827645, 'rocket_inertia_11': 0.7753897697274423, 'rocket_inertia_33': 0.01641853808910953, 'motor_dry_mass': 4.337905620119689, 'motor_inertia_11': 0.014223733648784957, 'motor_inertia_33': 0.2116655653302426, 'motor_dry_mass_position': 0.5300368099173617, 'impulse': 9224.36812281494, 'burn_time': 2.9437574317310378, 'nozzle_radius': 0.03996283369590644, 'throat_radius': 0.01511656590648037, 'grain_separation': 0.000826645942763655, 'grain_density': 1478.3719922925857, 'grain_outer_radius': 0.041106478406542364, 'grain_initial_inner_radius': 0.021318760662398267, 'grain_initial_height': 0.15267907890080845, 'radius': 0.07672490115370496, 'nozzle_position': -1.1097927153176255, 'grains_center_of_mass_position': -3.070317934071919, 'power_off_drag': 0.9967518315102535, 'power_on_drag': 1.0001921872738226, 'nose_distance_to_CM': 1.1967638791602317, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 88.4545435458615, 'heading': 86.66766313075557, 'cd_s_drogue': 0.2533766354721949, 'cd_s_light': 16.071533092322078, 'lag_rec': 0.31382524691587, 'lag_se': 0.05377187794454568, 'temperature': 295.2088068815843, 'atmosphere_pressure': 85427.07886252472, 'wind_u_speed': 0.4047965303119167, 'wind_v_speed': -3.602078646819349}

{'rocket_mass': 16.40101267689434, 'rocket_inertia_11': 0.856536023756201, 'rocket_inertia_33': 0.016420957045969964, 'motor_dry_mass': 4.335943174582563, 'motor_inertia_11': 0.013942546573601581, 'motor_inertia_33': 0.21166480923612063, 'motor_dry_mass_position': 0.5293793727853864, 'impulse': 9186.224967490927, 'burn_time': 2.6133362978645134, 'nozzle_radius': 0.03935267112194957, 'throat_radius': 0.015165334330547552, 'grain_separation': -0.0008011761339944818, 'grain_density': 1498.8520301730039, 'grain_outer_radius': 0.04144959161065111, 'grain_initial_inner_radius': 0.021821768477010072, 'grain_initial_height': 0.15036650597922455, 'radius': 0.07862593559055873, 'nozzle_position': -1.1095208683246118, 'grains_center_of_mass_position': -3.070250053880501, 'power_off_drag': 0.9534618977407517, 'power_on_drag': 0.9982514288122508, 'nose_distance_to_CM': 1.1968996806233445, 'fin_distance_to_CM': 0.5948399774313176, 'inclination': 86.7275364026007, 'heading': 87.69905680099045, 'cd_s_drogue': 0.27405578510005485, 'cd_s_light': 16.07955874613598, 'lag_rec': 0.048263315732630374, 'lag_se': 0.02701626001042126, 'temperature': 304.81486924969414, 'atmosphere_pressure': 85924.47724774524, 'wind_u_speed': 0.41518715189813415, 'wind_v_speed': -4.738779946384221}
Completed 20 iterations successfully. Total CPU time: 0.046875 s. Total wall time: 9.719197988510132 s
